#Survey waypoint list: Easting, Northing (UTM32)
550212.2743,6222586.4623,,"49840-4"
550212.1773,6222588.9598,,"49840-3"
550212.0135,6222593.2054,,"49840-2"
550211.8684,6222596.9512,,"49840-1"
550192.2063,6222585.7690,,"49820-4"
550192.1263,6222588.2667,,"49820-3"
550191.9905,6222592.5134,,"49820-2"
550191.8704,6222596.2604,,"49820-1"
550172.1354,6222585.2087,,"49800-4"
550172.0713,6222587.7075,,"49800-3"
550171.9635,6222591.9544,,"49800-2"
550171.8684,6222595.7016,,"49800-1"
550152.0604,6222584.7823,,"49780-4"
550152.0133,6222587.2812,,"49780-3"
550151.9336,6222591.5283,,"49780-2"
550151.8624,6222595.2767,,"49780-1"
550131.9805,6222584.4898,,"49760-4"
550131.9504,6222586.9888,,"49760-3"
550131.8996,6222591.2372,,"49760-2"
550131.8545,6222594.9857,,"49760-1"
550111.9017,6222584.3313,,"49740-4"
550111.8885,6222586.8304,,"49740-3"
550111.8657,6222591.0790,,"49740-2"
550111.8446,6222594.8277,,"49740-1"
550091.8198,6222584.3067,,"49720-4"
550091.8237,6222586.8060,,"49720-3"
550091.8289,6222591.0547,,"49720-2"
550091.8347,6222594.8037,,"49720-1"
550071.7410,6222584.4151,,"49700-4"
550071.7609,6222586.9145,,"49700-3"
550071.7951,6222591.1635,,"49700-2"
550071.8249,6222594.9116,,"49700-1"
550051.6632,6222584.6585,,"49680-4"
550051.7001,6222587.1570,,"49680-3"
550051.7613,6222591.4052,,"49680-2"
550051.8161,6222595.1544,,"49680-1"
550031.5854,6222585.0358,,"49660-4"
550031.6383,6222587.5344,,"49660-3"
550031.7295,6222591.7828,,"49660-2"
550031.8093,6222595.5303,,"49660-1"
550011.5147,6222585.5461,,"49640-4"
550011.5846,6222588.0439,,"49640-3"
550011.7018,6222592.2915,,"49640-2"
550011.8066,6222596.0381,,"49640-1"
549991.4430,6222586.1904,,"49620-4"
549991.5299,6222588.6883,,"49620-3"
549991.6761,6222592.9341,,"49620-2"
549991.8059,6222596.6809,,"49620-1"
549971.3793,6222586.9687,,"49600-4"
549971.4822,6222589.4657,,"49600-3"
549971.6564,6222593.7107,,"49600-2"
549971.8112,6222597.4567,,"49600-1"
549951.3177,6222587.8820,,"49580-4"
549951.4376,6222590.3782,,"49580-3"
549951.6417,6222594.6214,,"49580-2"
549951.8215,6222598.3666,,"49580-1"
549931.2651,6222588.9273,,"49560-4"
549931.4020,6222591.4226,,"49560-3"
549931.6341,6222595.6650,,"49560-2"
549931.8379,6222599.4084,,"49560-1"
549911.2185,6222590.1077,,"49540-4"
549911.3714,6222592.6020,,"49540-3"
